ID,부위,운동명,장비,분류,주동근,협동근,권장 렙범위,휴식초,무게 단위,난이도,신뢰도
P001,하체,바벨 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P002,하체,데드리프트(컨벤셔널),바벨,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P003,하체,레그 프레스,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P004,하체,(맨몸)런지,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P005,하체,레그 컬,머신,아이솔레이션,햄스트링,,8~15,60~120,5kg,초보,높음
P006,하체,바벨 스티프 레그 데드리프트,바벨,컴파운드,햄스트링/대둔근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P007,하체,브이 스쿼트,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P008,하체,레그 익스텐션,머신,아이솔레이션,대퇴사두근,,8~15,60~120,5kg,초보,높음
P009,하체,덤벨 런지,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P010,하체,핵 스쿼트 머신,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P011,하체,덤벨 스모 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P012,하체,카프 레이즈,머신,아이솔레이션,비복근/가자미근,,8~15,60~120,5kg,초보,높음
P013,하체,힙 어덕션 머신(이너싸이),머신,아이솔레이션,내전근,,8~15,60~120,5kg,초보,높음
P014,하체,힙 어브덕션 머신(아웃타이),머신,아이솔레이션,중둔근,,8~15,60~120,5kg,초보,높음
P015,하체,바벨 힙 쓰러스트,바벨,컴파운드,대둔근/햄스트링,대퇴사두근/햄스트링,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P016,하체,스미스 머신 스쿼트,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P017,하체,원 레그 니 업,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,고급,높음
P018,하체,바벨 와이드 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P019,하체,스미스 머신 런지,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P020,하체,워킹 런지,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P021,하체,바벨 내로우 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P022,하체,스모 데드리프트,바벨,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P023,하체,박스 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P024,하체,박스 점프,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P025,하체,덤벨 불가리안 스플릿 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P026,하체,프론트 스쿼트,바벨,컴파운드,대퇴사두근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P027,하체,글루트 햄 레이즈,머신,아이솔레이션,대둔근/햄스트링,,8~15,60~120,5kg,초보,높음
P028,하체,글루트 킥 백,머신,아이솔레이션,대둔근/햄스트링,,8~15,60~120,5kg,초보,높음
P029,하체,고블릿 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P030,하체,바벨 핵 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,고급,높음
P031,하체,피스톨 스쿼트,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,고급,높음
P032,하체,밴드 스쿼트,밴드,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,저항 단계,초보,높음
P033,하체,덤벨 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P034,하체,스미스 머신 와이드 스쿼트,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P035,하체,제르셔 스쿼트(저쳐 스쿼트),바벨,컴파운드,대퇴사두근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,고급,높음
P036,하체,힙 익스텐션,머신,아이솔레이션,대둔근/햄스트링,,8~15,60~120,5kg,초보,높음
P037,하체,백 런지,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P038,하체,힙 쓰러스트 머신,머신,컴파운드,대둔근/햄스트링,대퇴사두근/햄스트링,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P039,하체,사이드 런지,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P040,하체,힙 어브덕션,머신,아이솔레이션,중둔근,,8~15,60~120,5kg,초보,높음
P041,하체,사이드 킥백,맨몸,아이솔레이션,중둔근,,8~15,60~120,맨몸/체중조끼,초보,높음
P042,하체,크로스 런지,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P043,하체,스탠딩 레그 컬,머신,아이솔레이션,햄스트링,,8~15,60~120,5kg,초보,높음
P044,하체,시티드 카프레이즈 머신,머신,아이솔레이션,비복근/가자미근,,8~15,60~120,5kg,초보,높음
P045,하체,시티드 바벨 카프레이즈,바벨,아이솔레이션,비복근/가자미근,,8~15,60~120,2.5kg,초보,높음
P046,하체,케틀벨 스모 데드리프트 하이풀,케틀벨,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,4kg,중급,높음
P047,하체,펜들럼 스쿼트,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P048,하체,원 레그 덤벨 데드리프트,덤벨,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,고급,높음
P049,하체,원 레그 바벨 힙쓰러스트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,2.5kg,고급,높음
P050,하체,점프 스쿼트,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P051,하체,시티드 원 레그 프레스,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,고급,높음
P052,하체,스탠딩 카프 레이즈 머신,머신,아이솔레이션,비복근/가자미근,,8~15,60~120,5kg,초보,높음
P053,하체,힙 익스텐션 머신,머신,아이솔레이션,대둔근/햄스트링,,8~15,60~120,5kg,초보,높음
P054,하체,와이드 스쿼트(맨몸),맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P055,하체,스쿼트(맨몸),맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P056,하체,덤벨 스티프 레그 프레스,덤벨,컴파운드,햄스트링/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P057,하체,글루트 킥 백 앤 사이드 킥,머신,아이솔레이션,중둔근,,8~15,60~120,5kg,초보,높음
P058,하체,글루트 킥 백 앤 크로스,머신,아이솔레이션,대둔근/햄스트링,,8~15,60~120,5kg,초보,높음
P059,하체,니 힙 쓰러스트,바벨,컴파운드,대둔근/햄스트링,대퇴사두근/햄스트링,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P060,하체,사이드 레이즈 앤 킥,맨몸,아이솔레이션,중둔근,,8~15,60~120,맨몸/체중조끼,초보,높음
P061,하체,스모 스쿼트 플로어 터치,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P062,하체,원 레그 데드리프트,바벨,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,고급,높음
P063,하체,원 레그 힙 쓰러스트,바벨,컴파운드,대둔근/햄스트링,대퇴사두근/햄스트링,5~8 (근력) / 6~12 (비대),180~300,2.5kg,고급,높음
P064,하체,하이 니 스쿼트,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P065,하체,힙 쓰러스트(맨몸),맨몸,컴파운드,대둔근/햄스트링,대퇴사두근/햄스트링,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P066,하체,런지 점프,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P067,하체,시티드 레그 프레스,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P068,하체,싱글 라잉 레그 컬,머신,아이솔레이션,햄스트링,,8~15,60~120,5kg,초보,높음
P069,하체,원 레그 익스텐션,머신,아이솔레이션,대퇴사두근,,8~15,60~120,5kg,고급,높음
P070,하체,스텝 박스 덤벨 백 런지,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P071,하체,케틀벨 프론트 스쿼트,케틀벨,컴파운드,대퇴사두근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,4kg,중급,높음
P072,하체,케이블 힙 어브덕션,케이블,아이솔레이션,중둔근,,8~15,60~120,2.5kg,초보,높음
P073,하체,케이블 힙 익스텐션,케이블,아이솔레이션,대둔근/햄스트링,,8~15,60~120,2.5kg,초보,높음
P074,하체,힙 글루트 머신,머신,아이솔레이션,대둔근/햄스트링,,8~15,60~120,5kg,초보,높음
P075,하체,바벨 카프 레이즈,바벨,아이솔레이션,비복근/가자미근,,8~15,60~120,2.5kg,초보,높음
P076,하체,덤벨 백 런지,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P077,하체,박스 피스톨 스쿼트,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,고급,높음
P078,하체,박스 케틀벨 스쿼트,케틀벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,4kg,중급,높음
P079,하체,박스 바벨 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P080,하체,시티드 레그 컬,머신,아이솔레이션,햄스트링,,8~15,60~120,5kg,초보,높음
P081,하체,리버스 하이퍼 머신,머신,아이솔레이션,대퇴사두근/대둔근,,8~15,60~120,5kg,초보,높음
P082,하체,보수볼 스쿼트,보수볼,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,맨몸,초보,높음
P083,하체,스플릿 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P084,하체,덤벨 스플릿 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P085,하체,시티드 레그 프레스 카프 레이즈,머신,컴파운드,비복근/가자미근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P086,하체,케틀벨 런지,케틀벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,4kg,중급,높음
P087,하체,케틀벨 고블릿 스쿼트,케틀벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,4kg,중급,높음
P088,하체,원 레그 케틀벨 데드리프트,케틀벨,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,4kg,고급,높음
P089,하체,스미스 머신 힙 쓰러스트,스미스 머신,컴파운드,대둔근/햄스트링,대퇴사두근/햄스트링,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P090,하체,스미스 머신 카프 레이즈,스미스 머신,아이솔레이션,비복근/가자미근,,8~15,60~120,2.5kg,초보,높음
P091,하체,스탠딩 힙 어브덕션,머신,아이솔레이션,중둔근,,8~15,60~120,5kg,초보,높음
P092,하체,밴드 힙 어브덕션,밴드,아이솔레이션,중둔근,,8~15,60~120,저항 단계,초보,높음
P093,하체,덤벨 크로스 런지,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P094,하체,크랩 워킹,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P095,하체,몬스터 글루트 머신,머신,아이솔레이션,대둔근/햄스트링,,8~15,60~120,5kg,초보,높음
P096,하체,덤벨 워킹 런지,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P097,하체,바벨 워킹 런지,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P098,하체,원 레그 스미스 머신 데드리프트,스미스 머신,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,고급,높음
P099,하체,덤벨 와이드 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P100,하체,내로우 스쿼트(맨몸),맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P101,하체,스미스 머신 크로스 런지,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P102,하체,로우 런지,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P103,하체,런지 트위스트,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P104,하체,레버리지 스쿼트,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P105,하체,리버스 브이 스쿼트,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P106,하체,리버스 핵 스쿼트,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P107,하체,스미스 머신 스티프 데드리프트,스미스 머신,컴파운드,햄스트링/대둔근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P108,하체,스미스 머신 데드리프트,스미스 머신,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P109,하체,스비스 머신 스모 데드리프트,머신,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P110,하체,덤벨 레터럴 스텝업,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P111,하체,케틀벨 레터럴 스텝업,케틀벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,4kg,중급,높음
P112,하체,덤벨 스텝업,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P113,하체,밴드 스텝업,밴드,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,저항 단계,초보,높음
P114,하체,스미스 머신 닐링 스쿼트,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P115,하체,덤벨 힙 쓰러스트,덤벨,컴파운드,대둔근/햄스트링,대퇴사두근/햄스트링,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P116,하체,노르딕 컬,맨몸,아이솔레이션,대퇴사두근/대둔근,,8~15,60~120,맨몸/체중조끼,초보,높음
P117,하체,씨시 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P118,하체,스미스 머신 스플릿 스쿼트,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P119,하체,핵 프레스 머신,머신,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P120,하체,케이블 풀 쓰루,케이블,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P121,하체,원레그 핵 스쿼트,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P122,하체,점프 덤벨 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P123,하체,케이블 스쿼트,케이블,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P124,하체,스미스 머신 불가리안 스플릿 스쿼트,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P125,하체,덤벨 내로우 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P126,하체,브이 스쿼트 굿모닝,머신,컴파운드,햄스트링/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P127,하체,굿모닝,바벨,컴파운드,햄스트링/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P128,하체,원 레그 프레스,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,고급,높음
P129,하체,케틀벨 와이드 스쿼트,케틀벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,4kg,중급,높음
P130,하체,덤벨 루마니안 데드리프트,덤벨,컴파운드,햄스트링/대둔근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P131,하체,루마니안 데드리프트,바벨,컴파운드,햄스트링/대둔근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P132,하체,글루트 믹 백 머신,머신,아이솔레이션,대둔근/햄스트링,,8~15,60~120,5kg,초보,높음
P133,하체,시티드 원 레그 컬,머신,아이솔레이션,햄스트링,,8~15,60~120,5kg,고급,높음
P134,하체,백 익스텐션,머신,아이솔레이션,햄스트링/대둔근,,8~15,60~120,5kg,초보,높음
P135,가슴,벤치 프레스,바벨,컴파운드,대흉근,전면 삼각근/삼두근,5~8 (근력) / 6~12 (비대),120~180,2.5kg,중급,높음
P136,가슴,덤벨 벤치 프레스,덤벨,컴파운드,대흉근,전면 삼각근/삼두근,5~8 (근력) / 6~12 (비대),120~180,1~2.5kg,중급,높음
P137,가슴,덤벨 풀오버,덤벨,아이솔레이션,대흉근/광배근,,8~15,60~120,1~2.5kg,초보,높음
P138,가슴,펙덱 플라이,머신,아이솔레이션,대흉근,,8~15,60~120,5kg,초보,높음
